Authorised on;Processed on;Amount;Currency;Description;Payment type;Status;Assunto;Amount in foreign currency;Currency;Exchange rate
19.11.23;;-40;EUR;5005 Bowling GmbH & Co;contactless;Authorised;Bowling;;;
19.11.23;;-41;EUR;5005 Bowling GmbH & Co;contactless;Authorised;Bowling;;;
19.11.23;;-11,99;EUR;EPC*FORTNITE;e-commerce;Authorised;VideoGame;;;
18.11.23;;-9,96;EUR;Naturkostinsel Olching;contactless;Authorised;0;;;
18.11.23;;-27,48;EUR;TEBEX.ORG;e-commerce;Authorised;VideoGame;-29,74;USD;1.082.241.630.276.560
18.11.23;;-11,65;EUR;DM-Drogerie Markt;contactless;Authorised;DM;;;
16.11.23;;-2,99;EUR;APPLE.COM/BILL;e-commerce;Authorised;Apple iCloud;;;
15.11.23;16.11.23;-126,51;EUR;Rosen-Apotheke Leiss;contactless;Processed;farmacia;;;
15.11.23;17.11.23;-72,93;EUR;Aral Station 191474105;contactless;Processed;gasolina;;;
14.11.23;15.11.23;-8,99;EUR;AMZNPrime DE*HB2NB4QQ4;e-commerce;Processed;amazon;;;
12.11.23;13.11.23;-8,2;EUR;Jaeger Parkhaus-Betrei;contactless;Processed;estacionamento;;;
12.11.23;13.11.23;-5,9;EUR;Landbaeckerei Ihle;contactless;Processed;Padaria;;;
12.11.23;13.11.23;-11,05;EUR;Landbaeckerei Ihle;contactless;Processed;Padaria;;;
11.11.23;13.11.23;-5,75;EUR;ALDI SUED;contactless;Processed;mercado;;;
11.11.23;13.11.23;-9,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
09.11.23;10.11.23;2.416,38;EUR;Lastschrift;direct-debit;Processed;0;;;
09.11.23;09.11.23;-11,5;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
08.11.23;09.11.23;-67,95;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
08.11.23;09.11.23;-87,94;EUR;H&amp;M Muenchen 1DE06;contactless;compras roupa;Processed;;
08.11.23;09.11.23;-5,6;EUR;DM-Drogerie Markt;contactless;Processed;DM;;;
07.11.23;08.11.23;-15,95;EUR;DANKE DER BUCHLADEN;contactless;Processed;Livro;;;
06.11.23;07.11.23;-5;EUR;AMPERA;contactless;Processed;0;;;
05.11.23;06.11.23;-25,45;EUR;Landbaeckerei Ihle;contactless;Processed;Padaria;;;
04.11.23;06.11.23;-9;EUR;Parkhaus Flughafen;contactless;Processed;estacionamento;;;
04.11.23;06.11.23;-12,85;EUR;REWE Olching Hauptstr.;contactless;Processed;mercado;;;
04.11.23;06.11.23;-11,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
03.11.23;06.11.23;-4;EUR;FRUTERIA;contactless;Processed;0;;;
03.11.23;06.11.23;-119;EUR;RESTAURANT COLOM;contactless;Processed;restaurante;;;
03.11.23;06.11.23;-30,7;EUR;FNAC TRIANGLE;contactless;Processed;livro;;;
03.11.23;06.11.23;-10;EUR;FGC MAE;contactless;Processed;0;;;
03.11.23;06.11.23;-2,5;EUR;136 GRAN VIA LHOSPITAL;contactless;Processed;0;;;
03.11.23;06.11.23;-37,5;EUR;KFC GRAN VIA 2;contactless;Processed;restaurante;;;
03.11.23;06.11.23;-1,32;EUR;IUVFVYST-1;contactless;Processed;0;;;
03.11.23;03.11.23;-2,88;EUR;MSC Cruises;retail-store;Processed;0;;;
01.11.23;02.11.23;-6;EUR;Roll and Chill;contactless;Processed;0;;;
01.11.23;02.11.23;-8;EUR;GRANO;contactless;Processed;0;;;
29.10.23;30.10.23;-17,1;EUR;FARMACIA REGIA;contactless;Processed;farmacia;;;
27.10.23;30.10.23;-1,4;EUR;VASCO DE GAMA;contactless;Processed;0;;;
26.10.23;27.10.23;-10,04;EUR;CASPE ALIMENTACIO SL;contactless;Processed;0;;;
26.10.23;27.10.23;-78;EUR;BARCELONA BUS -AERO GI;contactless;Processed;Ferias;;;
26.10.23;27.10.23;-3,4;EUR;SNACK UND FLY;contactless;Processed;0;;;
26.10.23;27.10.23;-3;EUR;SNACK UND FLY;contactless;Processed;0;;;
26.10.23;27.10.23;-11,94;EUR;Backstube Wuensche;contactless;Processed;Padaria;;;
25.10.23;26.10.23;-390;EUR;Trattoria Senza Nome;contactless;Processed;Bosch - restaurante;;;
25.10.23;26.10.23;-250;EUR;Dream-Bowl Palace;contactless;Processed;Bosch - Evento;;;
24.10.23;25.10.23;-25,04;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
24.10.23;25.10.23;-35,12;EUR;JET-Tankstelle;contactless;Processed;gasolina;;;
24.10.23;25.10.23;-1,99;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
24.10.23;25.10.23;-5,65;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
24.10.23;25.10.23;-31,6;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
24.10.23;25.10.23;-25,99;EUR;Fressnapf Fuerstenfel;contactless;Processed;Racao animais;;;
24.10.23;25.10.23;-49,24;EUR;C&A Haus 0504;contactless;Processed;compras roupa;;;
23.10.23;24.10.23;-2,7;EUR;Backstube Wuensche;contactless;Processed;Padaria;;;
23.10.23;23.10.23;-0,44;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
22.10.23;23.10.23;-4,4;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
21.10.23;23.10.23;-6,9;EUR;DM-Drogerie Markt;contactless;Processed;DM;;;
21.10.23;23.10.23;-37,7;EUR;DM-Drogerie Markt;contactless;Processed;DM;;;
20.10.23;23.10.23;-22,55;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;1.055.532
20.10.23;23.10.23;-4,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
20.10.23;23.10.23;-67,06;EUR;DM-Drogerie Markt;contactless;Processed;DM;;;
20.10.23;23.10.23;-1,95;EUR;MCDONALDS 1701;contactless;Processed;restaurante;;;
19.10.23;20.10.23;-7,43;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
19.10.23;23.10.23;-13,73;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
19.10.23;20.10.23;-35,71;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
19.10.23;20.10.23;-17,71;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
19.10.23;19.10.23;-0,37;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
18.10.23;19.10.23;-3,23;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
18.10.23;19.10.23;-16,25;EUR;Asia Markt Olching;contactless;Processed;mercado;;;
18.10.23;19.10.23;-18,96;EUR;APPSUMO.COM;e-commerce;Processed;Software;-19,95;USD;1.052.437
17.10.23;18.10.23;-6,1;EUR;Backstube Wuensche;contactless;Processed;Padaria;;;
17.10.23;17.10.23;-7,32;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
16.10.23;17.10.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
16.10.23;17.10.23;-375,26;EUR;PG *ROCKFUNNELS ROCKFU;e-commerce;Processed;RF lifetime;-1.990;BRL;530.298
14.10.23;16.10.23;-8,99;EUR;AMZNPrime DE*H84MF9XM4;e-commerce;Processed;amazon;;;
14.10.23;16.10.23;-29;EUR;MAXXARENA;contactless;Processed;Aniver Davi;;;
14.10.23;16.10.23;-10,85;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
12.10.23;13.10.23;-32,95;EUR;CALZEDONIA GERMANY GMB;contactless;Processed;compras roupa;;;
12.10.23;13.10.23;-36,2;EUR;DANKE DER BUCHLADEN;contactless;Processed;Livro;;;
11.10.23;12.10.23;-9,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
10.10.23;11.10.23;-113,05;EUR;RYANAIRQGTV9C;e-commerce;Processed;Voo;;;
10.10.23;11.10.23;-106,96;EUR;RYANAIRWKP82T;e-commerce;Processed;Voo;;;
09.10.23;10.10.23;929,13;EUR;Lastschrift;direct-debit;Processed;0;;;
09.10.23;09.10.23;-11,5;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
08.10.23;09.10.23;-41,5;EUR;Gut Aiderbichl Bayern;contactless;Processed;Aniver Davi;;;
08.10.23;09.10.23;-11,8;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
07.10.23;09.10.23;-2,8;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
06.10.23;06.10.23;-6,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
05.10.23;06.10.23;-50,25;EUR;DANKE DER BUCHLADEN;contactless;Processed;Livro;;;
04.10.23;05.10.23;-11,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
04.10.23;05.10.23;-39,58;EUR;Norma;retail-store;Processed;mercado;;;
03.10.23;04.10.23;-3,98;EUR;Prime Video *HT13Y9AO4;e-commerce;Processed;0;;;
03.10.23;04.10.23;-4,95;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
02.10.23;05.10.23;-10;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
01.10.23;02.10.23;-8,4;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
30.09.23;02.10.23;-3,8;EUR;Backstube Wuensche;contactless;Processed;Padaria;;;
30.09.23;02.10.23;-3,9;EUR;MAXXARENA;contactless;Processed;Aniver Davi;;;
30.09.23;02.10.23;-5,8;EUR;MAXXARENA;contactless;Processed;Aniver Davi;;;
30.09.23;02.10.23;-2,9;EUR;MAXXARENA;contactless;Processed;Aniver Davi;;;
30.09.23;02.10.23;-3,6;EUR;MAXXARENA;contactless;Processed;Aniver Davi;;;
30.09.23;02.10.23;-3,7;EUR;MAXXARENA;contactless;Processed;Aniver Davi;;;
30.09.23;02.10.23;-6;EUR;MAXXARENA;contactless;Processed;Aniver Davi;;;
30.09.23;02.10.23;-68,7;EUR;MAXXARENA;contactless;Processed;Aniver Davi;;;
30.09.23;02.10.23;-80;EUR;GAST- UND TAFERNWIRTSC;contactless;Processed;restaurante;;;
30.09.23;02.10.23;-8,3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
28.09.23;29.09.23;-342;EUR;MAXXARENA;contactless;Processed;Aniver Davi;;;
24.09.23;29.09.23;-11,99;EUR;Amazon.de;e-commerce;Processed;amazon;;;
21.09.23;21.09.23;-0,43;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.09.23;21.09.23;-22,3;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;1.067.229
20.09.23;21.09.23;-16,05;EUR;AMZN MKTP DE*1411R7R24;e-commerce;Processed;amazon;;;
18.09.23;19.09.23;-22,75;EUR;DANKE DER BUCHLADEN;contactless;Processed;Livro;;;
17.09.23;18.09.23;-10;EUR;ALPSEEPARKPLATZ;contactless;Processed;0;;;
17.09.23;18.09.23;-11,5;EUR;VILLA ROMANTICA;contactless;Processed;restaurante;;;
16.09.23;18.09.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
16.09.23;18.09.23;-9,8;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
14.09.23;15.09.23;-8,99;EUR;AMZNPrime DE*149W60GE4;e-commerce;Processed;amazon;;;
11.09.23;12.09.23;-21,8;EUR;KA 7 Restaurant;contactless;Processed;restaurante;;;
11.09.23;12.09.23;-9,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
10.09.23;11.09.23;-7,3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
09.09.23;12.09.23;-15,85;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
09.09.23;11.09.23;-4,99;EUR;AMZN Mktp DE*1U9J71734;e-commerce;Processed;amazon;;;
09.09.23;11.09.23;-16,83;EUR;AMZN Mktp DE*1U9FW7IJ4;e-commerce;Processed;amazon;;;
08.09.23;11.09.23;-1,99;EUR;HEINRITZI GMBH & CO. R;contactless;Processed;0;;;
08.09.23;11.09.23;-1,14;EUR;REWE Gruenwald Len;contactless;Processed;0;;;
08.09.23;09.09.23;950,24;EUR;Lastschrift;direct-debit;Processed;0;;;
08.09.23;08.09.23;-11,5;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
06.09.23;06.09.23;-5,57;EUR;OPENAI;e-commerce;Processed;0;-5,96;USD;1.070.548
06.09.23;07.09.23;-6,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
06.09.23;06.09.23;-0,11;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
05.09.23;06.09.23;-21;EUR;Able Catering;contactless;Processed;restaurante;;;
05.09.23;05.09.23;-0,11;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
04.09.23;05.09.23;-5,87;EUR;TEBEX.ORG;e-commerce;Processed;VideoGame;-6,32;USD;1.077.021
04.09.23;05.09.23;-1,99;EUR;HEINRITZI GMBH & CO. R;contactless;Processed;0;;;
04.09.23;05.09.23;-11,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
03.09.23;04.09.23;-3,3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
01.09.23;06.09.23;-42,9;EUR;SIEMES Schuhcenter Gmb;e-commerce;Processed;compras roupa;;;
31.08.23;01.09.23;-1;EUR;TEDi Fil  5385;contactless;Processed;0;;;
31.08.23;01.09.23;-2,65;EUR;DM-Drogerie Markt;contactless;Processed;DM;;;
31.08.23;01.09.23;-23,93;EUR;AMZN Mktp DE*1M0LB1WN4;e-commerce;Processed;amazon;;;
31.08.23;31.08.23;-26,99;EUR;Amazon.de;e-commerce;Processed;amazon;;;
30.08.23;31.08.23;-3,3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
29.08.23;31.08.23;-13,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
29.08.23;30.08.23;-8,6;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
27.08.23;28.08.23;-32,98;EUR;AMZN Mktp DE*1M9RS2X54;e-commerce;Processed;amazon;;;
26.08.23;28.08.23;-3,5;EUR;POLLUX GRUNDSTÜCKSGESE;contactless;Processed;0;;;
26.08.23;28.08.23;-74,4;EUR;Le Burger Muenchen;contactless;Processed;restaurante;;;
26.08.23;28.08.23;-24,65;EUR;TEDI Fil  5367;contactless;Processed;compras casa;;;
25.08.23;28.08.23;-7,99;EUR;VIMN Germany GmbH;e-commerce;Processed;0;;;
24.08.23;25.08.23;-7,99;EUR;KiK Fil  6424;contactless;Processed;0;;;
24.08.23;25.08.23;-61,67;EUR;AMZN Mktp DE*1M8TF3NC4;e-commerce;Processed;amazon;;;
24.08.23;25.08.23;-1,52;EUR;Backstube Wuensche;contactless;Processed;Padaria;;;
23.08.23;24.08.23;-69,3;EUR;Le Burger Muenchen;contactless;Processed;restaurante;;;
23.08.23;24.08.23;-35,85;EUR;MOEMAX.DE;e-commerce;Processed;compras casa;;;
22.08.23;23.08.23;-15,1;EUR;SumUp  *VILLA ROMANTIC;contactless;Processed;restaurante;;;
22.08.23;23.08.23;-10,5;EUR;SumUp  *VILLA ROMANTIC;contactless;Processed;restaurante;;;
22.08.23;23.08.23;-4,99;EUR;REWE Olching Hauptstr.;contactless;Processed;mercado;;;
22.08.23;10.08.23;2,34;EUR;Teilerstattung Karten;unknown;Processed;0;;;
21.08.23;22.08.23;-30,02;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
21.08.23;21.08.23;-0,43;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
21.08.23;21.08.23;-0,15;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.08.23;21.08.23;-21,95;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;1.084.327
20.08.23;21.08.23;-35,65;EUR;SP ACQUISITION.COM;e-commerce;Processed;livro;;;
20.08.23;22.08.23;-28,69;EUR;AMZN Mktp DE*1F4PT09A4;e-commerce;Processed;amazon;;;
20.08.23;21.08.23;-11,4;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
19.08.23;21.08.23;-2,95;EUR;Backstube Wuensche;contactless;Processed;Padaria;;;
18.08.23;21.08.23;-67,96;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
18.08.23;21.08.23;-7,92;EUR;CF ETISON, LLC;e-commerce;Processed;0;-8,59;USD;1.084.327
18.08.23;21.08.23;-3,35;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
16.08.23;17.08.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
16.08.23;17.08.23;-10,5;EUR;KIOSK FREIBAD MAMMENDO;contactless;Processed;restaurante;;;
16.08.23;17.08.23;-18,5;EUR;KIOSK FREIBAD MAMMENDO;contactless;Processed;restaurante;;;
14.08.23;15.08.23;-8,99;EUR;AMZNPrime DE*1F6074Z14;e-commerce;Processed;amazon;;;
14.08.23;15.08.23;-100,43;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
14.08.23;17.08.23;-11,5;EUR;APOTHEKE CENTER 1;contactless;Processed;farmacia;;;
09.08.23;10.08.23;-46,97;EUR;DANKE BZO OLCHING GMBH;contactless;Processed;Baumarkt;;;
09.08.23;10.08.23;1.949,10;EUR;Lastschrift;direct-debit;Processed;0;;;
09.08.23;09.08.23;-11,5;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
07.08.23;09.08.23;-46,71;EUR;AMZN Mktp DE*1V6QD3HY4;e-commerce;Processed;amazon;;;
06.08.23;07.08.23;-4,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
06.08.23;07.08.23;-6,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
06.08.23;07.08.23;-3,15;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
04.08.23;07.08.23;-11,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
02.08.23;03.08.23;-105,9;EUR;home24 SE;e-commerce;Processed;compras casa;;;
01.08.23;02.08.23;-29,99;EUR;MICROSOFT*STORE;e-commerce;Processed;Software;;;
01.08.23;01.08.23;-0,21;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
31.07.23;01.08.23;-10,81;EUR;TEBEX.ORG;e-commerce;Processed;VideoGame;-11,89;USD;1.100.323
28.07.23;31.07.23;-11,25;EUR;MCDONALD S DEUTSCHLAND;contactless;Processed;restaurante;;;
25.07.23;26.07.23;-7,99;EUR;VIMN Germany GmbH;e-commerce;Processed;0;;;
25.07.23;26.07.23;-10,5;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
25.07.23;26.07.23;-25,8;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
24.07.23;25.07.23;-16,05;EUR;AMZN Mktp DE*1J47694W5;e-commerce;Processed;amazon;;;
24.07.23;08.07.23;59,95;EUR;AMZ*AllSpares;deposit;Processed;amazon;;;
24.07.23;08.07.23;30,94;EUR;AMZ*Amazon.de;deposit;Processed;amazon;;;
23.07.23;24.07.23;-93;EUR;Hotel Michels Stern;contactless;Processed;restaurante;;;
23.07.23;24.07.23;-4,24;EUR;Rasthaus Sued;contactless;Processed;0;;;
23.07.23;24.07.23;-214;EUR;Hotel MainChateau;contactless;Processed;Hotel casamento;;;
22.07.23;24.07.23;-14,94;EUR;ALDI SUED;contactless;Processed;mercado;;;
22.07.23;24.07.23;-3,05;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
21.07.23;24.07.23;-75,71;EUR;AMZN Mktp DE*T217V1H15;e-commerce;Processed;amazon;;;
21.07.23;21.07.23;-0,42;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.07.23;21.07.23;-21,38;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;111.305
20.07.23;21.07.23;-4,5;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
19.07.23;20.07.23;-3,45;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
18.07.23;19.07.23;-68,78;EUR;ALDI SUED;contactless;Processed;mercado;;;
18.07.23;19.07.23;-6;EUR;TEDi Fil  4534;contactless;Processed;compras casa;;;
18.07.23;18.07.23;-14,44;EUR;AMZN Mktp DE*1S8YH1HJ4;e-commerce;Processed;amazon;;;
17.07.23;18.07.23;-64;EUR;The Body Shop;contactless;Processed;Presente;;;
17.07.23;20.07.23;-65,13;EUR;AMZN Mktp DE*AP7172LU5;e-commerce;Processed;amazon;;;
17.07.23;08.07.23;15,03;EUR;Zara Deutschland 3421;deposit;Processed;compras roupa;;;
16.07.23;17.07.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
16.07.23;17.07.23;-5,65;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
15.07.23;17.07.23;-107,4;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
14.07.23;17.07.23;-8,99;EUR;AMZNPrime DE*WO3340G25;e-commerce;Processed;amazon;;;
14.07.23;17.07.23;-29,99;EUR;TALLY WEIJL Muenchen O;retail-store;Processed;compras roupa;;;
14.07.23;17.07.23;-12,97;EUR;Depot 1317;contactless;Processed;0;;;
14.07.23;17.07.23;-12,99;EUR;Zara Deutschland 3421;contactless;Processed;compras roupa;;;
14.07.23;17.07.23;-6,25;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
14.07.23;18.07.23;-48,04;EUR;AMZN Mktp DE*YX1BQ6ZA5;e-commerce;Processed;amazon;;;
13.07.23;14.07.23;-31,69;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
13.07.23;13.07.23;-57,26;EUR;TK Maxx;contactless;Processed;compras roupa;;;
13.07.23;14.07.23;-16,1;EUR;DM Drogerie Markt;contactless;Processed;DM;;;
13.07.23;14.07.23;-10;EUR;DB Automaten;retail-store;Processed;0;;;
