Authorised on;Processed on;Amount;Currency;Description;Payment type;Status;Assunto;Amount in foreign currency;Currency;Exchange rate
25.03.23;27.03.23;-3,2;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
24.03.23;27.03.23;-45;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
23.03.23;24.03.23;-8,99;EUR;Rosen-Apotheke Leiss;contactless;Processed;farmacia;;;
23.03.23;24.03.23;-19,59;EUR;Rossmann 1032;contactless;Processed;DM;;;
22.03.23;23.03.23;-36;EUR;AMAZON.DE*X41TX8XH5 WW;e-commerce;Processed;amazon;;;
21.03.23;22.03.23;-25,99;EUR;Fressnapf Fuerstenfel;contactless;Processed;Racao animais;;;
21.03.23;22.03.23;-13,02;EUR;UZR*Amper Apotheke Tho;contactless;Processed;farmacia;;;
21.03.23;22.03.23;-9,9;EUR;Rosen-Apotheke Leiss;contactless;Processed;farmacia;;;
21.03.23;21.03.23;-0,44;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.03.23;21.03.23;-22,39;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;1.063.052
20.03.23;22.03.23;-13,89;EUR;AMZN Mktp DE*ET2XV91Q5;e-commerce;Processed;amazon;;;
20.03.23;21.03.23;-3,9;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
16.03.23;17.03.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
16.03.23;20.03.23;-10,39;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
14.03.23;15.03.23;-0,9;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
12.03.23;13.03.23;-24,15;EUR;AMZN Mktp DE*1R6JG52S4;e-commerce;Processed;amazon;;;
12.03.23;13.03.23;-1,79;EUR;MCDONALDS 00644;contactless;Processed;restaurante;;;
12.03.23;13.03.23;-7,6;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
11.03.23;13.03.23;-27,1;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
11.03.23;13.03.23;-6,79;EUR;DANKE BZO OLCHING GMBH;contactless;Processed;Baumarkt;;;
11.03.23;13.03.23;-4,6;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
10.03.23;13.03.23;-12,45;EUR;APOTHEKE CENTER 1;retail-store;Processed;farmacia;;;
09.03.23;10.03.23;625,89;EUR;Lastschrift;direct-debit;Processed;0;;;
09.03.23;09.03.23;-9,16;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
08.03.23;09.03.23;-7,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
07.03.23;08.03.23;-23;EUR;VOGELHAUSBRAEU GMBH;contactless;Processed;restaurante;;;
06.03.23;07.03.23;-3;EUR;Rossmann 1032;contactless;Processed;DM;;;
06.03.23;07.03.23;-3,74;EUR;Rossmann 1032;contactless;Processed;DM;;;
05.03.23;06.03.23;-3,05;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
04.03.23;06.03.23;-32,89;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
04.03.23;06.03.23;-77;EUR;Aral Station 191227008;contactless;Processed;gasolina;;;
03.03.23;06.03.23;-6,68;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
03.03.23;06.03.23;-12,85;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
03.03.23;03.03.23;-0,09;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
02.03.23;03.03.23;-78,47;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
02.03.23;03.03.23;-4,73;EUR;WWW.MAKE.COM;e-commerce;Processed;0;-5;USD;105.805
01.03.23;02.03.23;-21,95;EUR;AMZN Mktp DE*1L3UD46Z4;e-commerce;Processed;amazon;;;
01.03.23;02.03.23;-40,44;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
28.02.23;01.03.23;-7,46;EUR;REWE Olching Hauptstr.;contactless;Processed;mercado;;;
28.02.23;01.03.23;-20,23;EUR;Hutter Büro GmbH & Co.;contactless;Processed;livro;;;
27.02.23;24.02.23;1.389;EUR;Einzahlung;unknown;Processed;0;;;
21.02.23;21.02.23;-0,44;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.02.23;21.02.23;-22,31;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;1.066.919
20.02.23;21.02.23;-13,32;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
20.02.23;17.02.23;-1.371,70;EUR;Rücklastschrift;unknown;Processed;???;;;
19.02.23;21.02.23;-18,18;EUR;AMZN MKTP DE*132VV2BA4;e-commerce;Processed;amazon;;;
19.02.23;20.02.23;-25,98;EUR;home24 SE;e-commerce;Processed;compras casa;;;
19.02.23;20.02.23;-11,59;EUR;AMZN Mktp DE*131XT3HO4;e-commerce;Processed;amazon;;;
19.02.23;21.02.23;-36;EUR;AMAZON.DE*136N10694 WW;e-commerce;Processed;amazon;;;
18.02.23;21.02.23;-46,08;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
18.02.23;20.02.23;-10,07;EUR;MCDONALDS 1701;contactless;Processed;restaurante;;;
18.02.23;20.02.23;-11,19;EUR;AMZN Mktp DE*136GF6VF4;e-commerce;Processed;amazon;;;
18.02.23;20.02.23;-19,83;EUR;AMZN Mktp DE*130IW4VK4;e-commerce;Processed;amazon;;;
18.02.23;20.02.23;-1,95;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
17.02.23;20.02.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
16.02.23;17.02.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
15.02.23;16.02.23;-11,04;EUR;Apoth. im Edeka-Center;contactless;Processed;farmacia;;;
14.02.23;15.02.23;-3,7;EUR;MÜNCHNER VERKEHRSGESEL;contactless;Processed;0;;;
13.02.23;13.02.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
12.02.23;13.02.23;-7;EUR;PARKHAUS FLUGHAFEN;contactless;Processed;estacionamento;;;
12.02.23;13.02.23;-8,1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
10.02.23;13.02.23;-16,99;EUR;AMZN Mktp DE*1Q2WY9SM4;e-commerce;Processed;amazon;;;
10.02.23;13.02.23;-17,9;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
10.02.23;10.02.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
09.02.23;10.02.23;-1,8;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
09.02.23;09.02.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
09.02.23;10.02.23;1.368,21;EUR;Lastschrift;direct-debit;Processed;0;;;
09.02.23;09.02.23;-9,16;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
08.02.23;09.02.23;-7,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
08.02.23;14.02.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
07.02.23;07.02.23;-130;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
06.02.23;07.02.23;-8,37;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
06.02.23;08.02.23;-21,78;EUR;Rosen-Apotheke Leiss;contactless;Processed;farmacia;;;
06.02.23;10.01.23;89,88;EUR;ABOUTYOU.DE;deposit;Processed;compras roupa;;;
04.02.23;06.02.23;-4,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
04.02.23;06.02.23;-410;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
04.02.23;06.02.23;-220;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
04.02.23;09.02.23;-14,95;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
03.02.23;06.02.23;-14;EUR;PARKHAUS FLUGHAFEN;contactless;Processed;estacionamento;;;
01.02.23;01.02.23;-2;EUR;Ihle Cafe Geiselbullac;retail-store;Processed;Padaria;;;
31.01.23;03.02.23;-2;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
31.01.23;01.02.23;-8,4;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
30.01.23;31.01.23;-9,15;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
30.01.23;31.01.23;-2;EUR;POLLUX GRUNDSTÜCKSGESE;contactless;Processed;0;;;
30.01.23;31.01.23;-68;EUR;Le Burger Muenchen;contactless;Processed;restaurante;;;
28.01.23;30.01.23;-4,4;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
27.01.23;30.01.23;-179,76;EUR;ABOUTYOU.DE;e-commerce;Processed;compras roupa;;;
25.01.23;27.01.23;-92,16;EUR;AMZN Mktp DE*1O3GB8NY4;e-commerce;Processed;amazon;;;
25.01.23;26.01.23;-27,9;EUR;Apoth. im Edeka-Center;contactless;Processed;farmacia;;;
24.01.23;25.01.23;-23,99;EUR;Fressnapf Puchheim;contactless;Processed;Racao animais;;;
23.01.23;24.01.23;-12;EUR;Hutter Büro GmbH & Co.;contactless;Processed;livro;;;
21.01.23;23.01.23;-6;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
20.01.23;23.01.23;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
19.01.23;20.01.23;-10,48;EUR;Fressnapf Puchheim;retail-store;Processed;Racao animais;;;
18.01.23;19.01.23;-59,9;EUR;Quick Schuh;retail-store;Processed;compras roupa;;;
17.01.23;18.01.23;-2,4;EUR;Landbaeckerei Ihle;contactless;Processed;Padaria;;;
17.01.23;18.01.23;-3,7;EUR;MÜNCHNER VERKEHRSGESEL;contactless;Processed;0;;;
16.01.23;17.01.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
14.01.23;16.01.23;-73;EUR;Le Burger Muenchen;contactless;Processed;restaurante;;;
14.01.23;16.01.23;-6,4;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
13.01.23;16.01.23;-7,5;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
10.01.23;11.01.23;-5,36;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
10.01.23;11.01.23;-5,36;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
09.01.23;10.01.23;3.703,30;EUR;Lastschrift;direct-debit;Processed;0;;;
09.01.23;09.01.23;-0,99;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-0,07;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-0,41;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-1,29;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-0,24;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-0,02;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-0,11;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-0,17;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-0,06;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-0,1;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-0,19;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
09.01.23;09.01.23;-9,16;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
06.01.23;09.01.23;-66,27;EUR;RESTAURACE 12;contactless;Processed;restaurante;-1.594;CZK;24.054
06.01.23;09.01.23;-0,83;EUR;PARKOVACI AUTOMAT;contactless;Processed;0;-20;CZK;24.054
06.01.23;09.01.23;-50,73;EUR;CS PRAHA  MOTOL;contactless;Processed;Ferias;-1.220,30;CZK;24.054
06.01.23;09.01.23;-8,64;EUR;Billa V Celnici 1031/4;contactless;Processed;Ferias;-207,73;CZK;24.054
06.01.23;09.01.23;-20,79;EUR;HRAD - ZLATA ULICKA;contactless;Processed;Ferias;-500;CZK;24.054
06.01.23;09.01.23;-4,99;EUR;TRHY PRAZSKY HRAD;contactless;Processed;0;-120;CZK;24.054
06.01.23;09.01.23;-12,06;EUR;MURANO;contactless;Processed;0;-290;CZK;24.054
06.01.23;09.01.23;-9,56;EUR;CREPINO s.r.o.;contactless;Processed;0;-230;CZK;24.054
06.01.23;09.01.23;-3,74;EUR;VANOCNI TRHY;contactless;Processed;0;-90;CZK;24.054
06.01.23;09.01.23;-5,82;EUR;31 SN Celetna stanek;contactless;Processed;0;-140;CZK;24.054
06.01.23;09.01.23;-3,1;EUR;Billa V Celnici 1031/4;contactless;Processed;Ferias;-74,48;CZK;24.054
06.01.23;06.01.23;-0,04;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
06.01.23;06.01.23;-0,12;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
06.01.23;06.01.23;-0,26;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
06.01.23;06.01.23;-0,39;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
06.01.23;06.01.23;-0,15;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
05.01.23;06.01.23;-7,45;EUR;Billa V Celnici 1031/4;contactless;Processed;Ferias;-179,3;CZK;24.054
05.01.23;06.01.23;-20,12;EUR;BERTOLDI;contactless;Processed;Ferias;-484;CZK;24.054
05.01.23;06.01.23;-13,1;EUR;SBX Praha Quadrio;contactless;Processed;0;-315;CZK;24.054
05.01.23;06.01.23;-5,94;EUR;TSK PRAHA;contactless;Processed;0;-143;CZK;24.054
05.01.23;06.01.23;-2,29;EUR;VERY GOODIES SHELL;contactless;Processed;0;-55;CZK;24.054
03.01.23;04.01.23;-15,99;EUR;AMZN Mktp DE*163HO77E4;e-commerce;Processed;amazon;;;
03.01.23;06.01.23;-19,5;EUR;APOTHEKE CENTER 1;contactless;Processed;farmacia;;;
30.12.22;10.12.22;9,99;EUR;DECATHLON Deutschland;deposit;Processed;compras roupa;;;
29.12.22;30.12.22;-31,95;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
29.12.22;30.12.22;-21,98;EUR;AMZN Mktp DE*164Y64GR4;e-commerce;Processed;amazon;;;
28.12.22;29.12.22;-16,99;EUR;Prime Video *164IU03H4;e-commerce;Processed;amazon;;;
28.12.22;30.12.22;-42,52;EUR;AMZN Mktp DE*163585GQ4;e-commerce;Processed;amazon;;;
25.12.22;28.12.22;-31,99;EUR;AMZN Mktp DE*162UV3LN4;e-commerce;Processed;amazon;;;
23.12.22;27.12.22;-1,5;EUR;CAFE Groebenzell;contactless;Processed;0;;;
22.12.22;23.12.22;-3;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
22.12.22;10.12.22;18,99;EUR;AMZ*JoyDaog Europe;deposit;Processed;amazon;;;
19.12.22;20.12.22;-10;EUR;TEDi Fil  4534;contactless;Processed;compras casa;;;
19.12.22;20.12.22;-90,44;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
16.12.22;20.12.22;-72,54;EUR;AMZN Mktp DE*1N00Q5JV4;e-commerce;Processed;amazon;;;
15.12.22;15.12.22;-97,96;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
14.12.22;19.12.22;-21,36;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
14.12.22;14.12.22;-2.640;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
13.12.22;14.12.22;-170;EUR;BAR TAPAS;contactless;Processed;restaurante;;;
11.12.22;12.12.22;-85;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
10.12.22;12.12.22;-85,71;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
09.12.22;12.12.22;-13,99;EUR;Prime Video *1W2K89YI4;e-commerce;Processed;amazon;;;
09.12.22;12.12.22;-5,33;EUR;Haiky Asian Food OEZ;contactless;Processed;0;;;
09.12.22;12.12.22;-5,33;EUR;Haiky Asian Food OEZ;contactless;Processed;0;;;
09.12.22;10.12.22;4.723,95;EUR;Lastschrift;direct-debit;Processed;0;;;
09.12.22;09.12.22;-9,16;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
03.12.22;05.12.22;-22,5;EUR;Contipark 09011190601;contactless;Processed;estacionamento;;;
03.12.22;05.12.22;-9,51;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
02.12.22;05.12.22;-29,2;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
02.12.22;05.12.22;-3,99;EUR;REWE Filialen Voll;contactless;Processed;mercado;;;
02.12.22;05.12.22;-120;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
30.11.22;01.12.22;-9,49;EUR;MCDONALDS 01753;contactless;Processed;restaurante;;;
30.11.22;01.12.22;-1.542;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
30.11.22;30.11.22;-40;EUR;AMZN Mktp DE*1I2GF9SX4;retail-store;Processed;amazon;;;
29.11.22;30.11.22;-20,6;EUR;Restaurant Akropolis;contactless;Processed;restaurante;;;
29.11.22;30.11.22;-1.999;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
29.11.22;30.11.22;-11,5;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
28.11.22;29.11.22;-9,95;EUR;DANKE DER BUCHLADEN;contactless;Processed;Livro;;;
28.11.22;29.11.22;-19,94;EUR;AMZN Mktp DE*1I31A98E4;e-commerce;Processed;amazon;;;
26.11.22;28.11.22;-13,74;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
26.11.22;28.11.22;-55;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
26.11.22;28.11.22;-50;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
26.11.22;28.11.22;-8,55;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
25.11.22;28.11.22;-61,95;EUR;AMZN Mktp DE*1I2O74AZ4;e-commerce;Processed;amazon;;;
24.11.22;25.11.22;-16,15;EUR;MUELLER MH HANDELS GMB;contactless;Processed;DM;;;
24.11.22;25.11.22;-10,56;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
24.11.22;25.11.22;-0,34;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
23.11.22;24.11.22;-1;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
22.11.22;23.11.22;-6,3;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
19.11.22;21.11.22;-28,27;EUR;MUELLER GMBH & CO.KG;contactless;Processed;DM;;;
19.11.22;21.11.22;-10,9;EUR;FAMILIENBÄCKEREI KISTE;contactless;Processed;Padaria;;;
19.11.22;21.11.22;-4,9;EUR;FAMILIENBÄCKEREI KISTE;contactless;Processed;Padaria;;;
19.11.22;21.11.22;-17,55;EUR;FAMILIENBÄCKEREI KISTE;contactless;Processed;Padaria;;;
17.11.22;21.11.22;-127,92;EUR;VBDEWEB;e-commerce;Processed;???;;;
16.11.22;17.11.22;-34,5;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
15.11.22;16.11.22;-17,15;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
14.11.22;15.11.22;-2,08;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
12.11.22;14.11.22;-38;EUR;KART PALAST FUNPARK;contactless;Processed;restaurante;;;
12.11.22;14.11.22;-1,93;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
12.11.22;14.11.22;-90,9;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
11.11.22;14.11.22;-124,51;EUR;DM-Drogerie Markt;contactless;Processed;DM;;;
10.11.22;11.11.22;-62,84;EUR;PAYBACK GmbH München;e-commerce;Processed;Payback;;;
10.11.22;11.11.22;-54,67;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
10.11.22;11.11.22;-31,45;EUR;AMZN Mktp DE*W34P22AG5;e-commerce;Processed;amazon;;;
09.11.22;10.11.22;-5,95;EUR;ALDI SUED;contactless;Processed;mercado;;;
09.11.22;10.11.22;726,27;EUR;Lastschrift;direct-debit;Processed;0;;;
09.11.22;09.11.22;-9,16;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
08.11.22;09.11.22;-6,74;EUR;ALDI SUED;retail-store;Processed;mercado;;;
06.11.22;07.11.22;-25,47;EUR;BURGER KING KIRCHHEIM;contactless;Processed;restaurante;;;
05.11.22;07.11.22;-75,43;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
05.11.22;07.11.22;-100,33;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
05.11.22;07.11.22;-86,65;EUR;DM-Drogerie Markt;contactless;Processed;DM;;;
04.11.22;07.11.22;-167,5;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
04.11.22;07.11.22;-37,99;EUR;AMZN Mktp DE*SJ9VS7HG5;e-commerce;Processed;amazon;;;
04.11.22;07.11.22;-0,34;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
04.11.22;07.11.22;-16,66;EUR;APOTHEKE CENTER 2;contactless;Processed;farmacia;;;
03.11.22;04.11.22;-200;EUR;Revolut**0211*;e-commerce;Processed;Revolut;;;
28.10.22;29.10.22;162,82;EUR;Lastschrift;direct-debit;Processed;0;;;
28.10.22;28.10.22;-9,16;EUR;monatlicher Kartenpreis;product-first-fee;Processed;Taxa cartao M&M;;;
27.10.22;27.10.22;-48,15;EUR;Quick Schuh;unknown;Processed;compras roupa;;;
27.10.22;27.10.22;-68,15;EUR;DM-Drogerie Markt;unknown;Processed;DM;;;
27.10.22;27.10.22;-9,65;EUR;EC FUERSTENFELDBRUCK;unknown;Processed;0;;;
25.10.22;25.10.22;-23,81;EUR;Lidl Dienstleistung;unknown;Processed;mercado;;;
24.10.22;24.10.22;-3,9;EUR;Ihle Cafe Geiselbullac;unknown;Processed;Padaria;;;